Parent Object,Operation,Component Type,Component Name,API Name,Comments,Owner: Full Name,Last Modified Date
null,Update,Layout,Remit_To__c-Remit To Layout, , ,Dale Pepin,Thu Nov 09 22:44:53 GET 2017
null,Update,Layout,Sales_Office__c-Sales Office Layout, , ,Dale Pepin,Tue Nov 07 00:08:28 GET 2017
null,Update,Layout,User-User Layout, , ,Artem Nakhapetiani,Mon Dec 04 10:41:11 GET 2017
null,Update,Layout,UserAlt-User Profile Layout, , ,Artem Nakhapetiani,Mon Dec 04 10:41:11 GET 2017
null,Update,ApexClass,APTS_AccountsSelector, , ,Artem Nakhapetiani,Thu Jan 04 19:29:24 GET 2018
null,Update,ApexClass,APTS_Application, , ,Tengo Lebanidze,Tue Dec 26 19:40:00 GET 2017
null,Update,ApexClass,APTS_AttachmentsSelector, , ,Tengo Lebanidze,Mon Dec 04 17:09:53 GET 2017
null,Update,ApexClass,APTS_BillingInvoices, , ,Tengo Lebanidze,Tue Dec 26 17:32:01 GET 2017
null,Update,ApexClass,APTS_BillingInvoicesSelector, , ,Artem Nakhapetiani,Thu Jan 04 19:22:16 GET 2018
null,Update,ApexClass,APTS_BillingPaymentMethodsSelector, , ,Tengo Lebanidze,Wed Dec 20 18:32:32 GET 2017
null,Update,ApexClass,APTS_CPQServiceFacade, , ,Artem Nakhapetiani,Wed Jan 03 19:13:17 GET 2018
null,Update,ApexClass,APTS_ContactsSelector, , ,Artem Nakhapetiani,Mon Dec 18 13:11:07 GET 2017
null,Update,ApexClass,APTS_CreditMemosSelector, , ,Artem Nakhapetiani,Wed Dec 20 18:54:25 GET 2017
null,Update,ApexClass,APTS_DynamicSoqlBuilderTest, , ,Tengo Lebanidze,Wed Jan 03 19:16:06 GET 2018
null,Update,ApexClass,APTS_ErrorCodes, , ,Tengo Lebanidze,Mon Nov 27 19:36:48 GET 2017
null,Update,ApexClass,APTS_HBTRR_AccountLocationSelector, , ,Artem Nakhapetiani,Wed Dec 20 18:28:58 GET 2017
null,Update,ApexClass,APTS_HBTRR_AssetLineItemsSelector, , ,Tengo Lebanidze,Wed Jan 03 19:17:40 GET 2018
null,Update,ApexClass,APTS_HBTRR_AssetsAutoRenewalBatch, , ,Artem Nakhapetiani,Wed Jan 03 19:15:58 GET 2018
null,Update,ApexClass,APTS_HBTRR_AssetsAutoRenewalBatchTest, , ,Artem Nakhapetiani,Wed Jan 03 19:18:45 GET 2018
null,Create,ApexClass,APTS_HBTRR_BillingService, , ,Artem Nakhapetiani,Thu Dec 21 19:54:29 GET 2017
null,Create,ApexClass,APTS_HBTRR_CCPaymentExpNotifBatch, , ,Tengo Lebanidze,Fri Dec 29 15:20:52 GET 2017
null,Create,ApexClass,APTS_HBTRR_CCPaymentExpNotifBatchTest, , ,Artem Nakhapetiani,Wed Dec 20 18:28:14 GET 2017
null,Update,ApexClass,APTS_HBTRR_CartService, , ,Tengo Lebanidze,Tue Dec 26 16:10:18 GET 2017
null,Update,ApexClass,APTS_HBTRR_CartServiceImpl, , ,Tengo Lebanidze,Thu Jan 04 17:04:46 GET 2018
null,Update,ApexClass,APTS_HBTRR_ConfiguratorService, , ,Artem Nakhapetiani,Sun Nov 19 17:08:04 GET 2017
null,Update,ApexClass,APTS_HBTRR_ConfiguratorServiceImpl, , ,Artem Nakhapetiani,Tue Dec 26 19:29:15 GET 2017
null,Update,ApexClass,APTS_HBTRR_DTO, , ,Tengo Lebanidze,Fri Dec 22 16:35:39 GET 2017
null,Update,ApexClass,APTS_HBTRR_DownGradeBatch, , ,Tengo Lebanidze,Wed Jan 03 19:45:41 GET 2018
null,Update,ApexClass,APTS_HBTRR_FinancialOpLogController, , ,Artem Nakhapetiani,Thu Nov 16 16:26:42 GET 2017
null,Update,ApexClass,APTS_HBTRR_FinancialOpLogControllerTest, , ,Artem Nakhapetiani,Mon Nov 06 00:39:15 GET 2017
null,Update,ApexClass,APTS_HBTRR_FinancialOpLogSelector, , ,Tengo Lebanidze,Mon Oct 30 16:57:12 GET 2017
null,Update,ApexClass,APTS_HBTRR_FinancialOpLogSelectorTest, , ,Tengo Lebanidze,Mon Oct 30 17:14:16 GET 2017
